id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13496652,Newly refurbished flat in the heart of Brussels,77396211,Shay,,Anderlecht,50.841092586198855,4.3332634321069055,Entire home/apt,40,1,38,2017-05-07,4.04,3,295
7267281,Super spacious and cosy apartment!,10960056,Lodie,,Anderlecht,50.83793073804443,4.3076199144897656,Entire home/apt,67,3,4,2017-04-28,0.38,1,260
7951776,New appartment at 5min from centre,41932564,Jackie,,Anderlecht,50.84736237648474,4.333349196314727,Entire home/apt,80,1,19,2016-03-22,0.98,1,0
7336964,Cozy apartment for family,3490409,Jonathan,,Anderlecht,50.8380526478105,4.3269460165155476,Entire home/apt,70,4,0,,,1,94
18000570,Charmant appartement proche du centre ville,11362510,Claire,,Anderlecht,50.83520589831094,4.32805083998564,Entire home/apt,85,3,0,,,1,0
16682610,CHAMBRE SIMPLE MEUBLÉE( WIFI),110410840,Adnane,,Anderlecht,50.824954817635366,4.287730852068463,Private room,19,1,31,2017-05-04,8.02,1,98
16187083,Popol's Home Chambre A,97533160,Christian,,Anderlecht,50.82923889582093,4.292961257160511,Private room,23,1,37,2017-04-30,7.03,2,235
15318689,CHARMING PENTHOUSE WITH TERRACE,9854478,Katia,,Anderlecht,50.84128145346942,4.312557105109741,Entire home/apt,74,1,5,2017-05-01,1.08,1,349
15617270,Chambre dans maison avec jardin,23601197,Cosme,,Anderlecht,50.83087534821315,4.308620229173828,Private room,25,2,3,2016-11-20,0.46,1,0
9501013,Nice flat with cat,49240421,Anna,,Anderlecht,50.83344629132966,4.315576955396631,Entire home/apt,45,2,0,,,1,0
14840593,ROOM 100 meter to Gare du midi .matro.train buss,14294054,Sarfaraz,,Anderlecht,50.839933992544225,4.334183747161075,Private room,69,1,0,,,3,365
6538733,Chambre à louer pour mois de Juin,34196383,Simon,,Anderlecht,50.82952932476844,4.29486522228551,Private room,30,6,0,,,1,0
3794181,"Loft, cosy, super-equipped, ideally located",19484319,Chantal,,Anderlecht,50.841772387698846,4.332296474454288,Entire home/apt,51,2,42,2017-03-26,1.27,1,148
1059217,iDesign - Apartment @ BRUSSEL MIDI,5832211,Eddy,,Anderlecht,50.83908049619769,4.329235705853846,Entire home/apt,57,2,240,2017-05-05,4.85,1,103
11231412,Own room in shared house,41375097,Tanja,,Anderlecht,50.8385157899827,4.334034977759436,Private room,30,2,2,2016-03-08,0.14,1,0
17017325,Charming Loft Ondine et Louis,48837823,Ondine,,Anderlecht,50.838135352394815,4.314811609706458,Entire home/apt,60,2,2,2017-04-09,0.75,1,82
17775185,Sympathique studio 4p avec cour,62004803,Yves,,Anderlecht,50.83691050056326,4.3050121723977615,Entire home/apt,60,1,2,2017-04-25,1.43,1,131
9953832,Penthouse 260m²,36310317,Roland,,Anderlecht,50.84042015535363,4.337665591753403,Entire home/apt,244,1,37,2017-04-29,2.19,6,308
11717884,Apart for 6 (1km from city center),61561283,Kenan,,Anderlecht,50.841220869052954,4.335978791547777,Entire home/apt,95,1,12,2017-04-11,0.93,13,330
5190962,Bijna Wit,6018684,Valentin,,Anderlecht,50.841830559482595,4.3292876944453145,Entire home/apt,75,2,10,2017-05-02,0.38,2,287
6918250,Beautiful apartment in BXL,36259767,Sophia,,Anderlecht,50.844810579396515,4.337683121004625,Entire home/apt,73,7,12,2015-08-16,0.53,1,364
1095437,Wit,6018684,Valentin,,Anderlecht,50.841787638352415,4.329450387544534,Entire home/apt,75,2,11,2017-05-08,0.25,2,355
15863756,STYLISH RENEWED PARISIAN TYPE 100M2 APPART,102820667,Philippe,,Anderlecht,50.839709803747944,4.3361324194332855,Entire home/apt,80,1,2,2017-01-01,0.37,1,341
134361,"Gare du Midi - Appart.  ""Lilas"" ",433586,Kristella/Francesco,,Anderlecht,50.839033407567285,4.335374003312638,Entire home/apt,80,1,5,2017-04-20,0.10,16,352
11623181,Apart for 6 (1km from city center),61561283,Kenan,,Anderlecht,50.839758941519214,4.337775463394937,Entire home/apt,95,1,0,,,13,300
80373,Villa Romaine,433586,Kristella/Francesco,,Anderlecht,50.839582899125766,4.335449356855947,Entire home/apt,85,1,1,2016-04-07,0.08,16,349
702465,2 BEDROOM APARTMENT IN BRUSSELS,3275907,Patrick,,Anderlecht,50.841050155132855,4.337976939440128,Entire home/apt,85,3,139,2017-02-13,2.53,1,36
18470361,Apart for 7 - 2 bedrooms - 1 km from city center,61561283,Kenan,,Anderlecht,50.84070216666819,4.33625239741641,Entire home/apt,110,1,0,,,13,351
17012225,Studio Midi,114052887,Nadejda,,Anderlecht,50.83537621333423,4.330960051756748,Entire home/apt,55,2,5,2017-05-06,5,1,305
8580244,Loft deluxe entre le tgv et centre,36310317,Roland,,Anderlecht,50.840874408658685,4.33596015326416,Entire home/apt,100,1,18,2017-04-17,0.92,6,346
14889716,"Splendid, luminous&spacious loft with garden",4975592,Hannah,,Anderlecht,50.84149590322511,4.334649988330802,Entire home/apt,99,1,2,2016-12-17,0.37,1,86
2423563,Quiet apartment near Midi Station,12384813,Mina Et Said,,Anderlecht,50.83856326223781,4.332349758962726,Entire home/apt,50,2,177,2017-05-06,4.58,1,337
